code,product_name,brands,categories,nova_group,nutriscore_grade,url
8901060000000,Milk bikis,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,d,http://world-en.openfoodfacts.org/product/8901063012547/milk-bikis-britannia
8901060000000,Multi Grain Bread,Britannia,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Wholemeal breads",4,unknown,http://world-en.openfoodfacts.org/product/8901063338623/multi-grain-bread-britannia
8901060000000,Multi Grain Bread,Britannia,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Multigrain sliced breads",4,c,http://world-en.openfoodfacts.org/product/8901063343276/multi-grain-bread-britannia
8901060000000,Nutri Choice Digestive,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,unknown,http://world-en.openfoodfacts.org/product/8901063142466/nutri-choice-digestive-britannia
8901060000000,Nutri Choice Sugar Free Crackers,Britannia,"snacks, salty-snacks, appetizers, da:crackers",4,d,http://world-en.openfoodfacts.org/product/8901063026278/nutri-choice-sugar-free-crackers-britannia
3948060000000,Nutri choise essentials,Britannia,en:biscuits,4,unknown,http://world-en.openfoodfacts.org/product/3948063154025/nutri-choise-essentials-britannia
8901060000000,Sugar Free Cracker Nature spice Jeera & Ajwain,Britannia,"wheat-crackers, biscuits",4,d,http://world-en.openfoodfacts.org/product/8901063026209/sugar-free-cracker-nature-spice-jeera-ajwain-britannia
8901060000000,The Laughing Cow Cheese Slices,Britannia,"Dairies,Fermented foods,Fermented milk products,Cheeses",4,e,http://world-en.openfoodfacts.org/product/8901063410282/the-laughing-cow-cheese-slices-britannia
8901060000000,Tiger Krunch ChocoChips,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits",4,unknown,http://world-en.openfoodfacts.org/product/8901063155459/tiger-krunch-chocochips-britannia
8901060000000,Toastea Rusk,Britannia,Rusks,4,d,http://world-en.openfoodfacts.org/product/8901063325784/toastea-rusk-britannia
8901060000000,Toastea premium rusk,Britannia,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Premium Bake Rusk,Toasted bread",4,d,http://world-en.openfoodfacts.org/product/8901063325609/toastea-premium-rusk-britannia
8901060000000,Treat Vanilla Creme,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Cream sandwich biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063033399/treat-vanilla-creme-britannia
8901060000000,Vitarich Sandwich Premium White Bread,Britannia,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads",4,c,http://world-en.openfoodfacts.org/product/8901063342026/vitarich-sandwich-premium-white-bread-britannia
8901060000000,britannia treat croissant vanilla creme roll,Britannia,"Snacks, Sweet snacks, Viennoiseries",4,unknown,http://world-en.openfoodfacts.org/product/8901063031937/britannia-treat-croissant-vanilla-creme-roll
8901060000000,good day cashew cookies,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,unknown,http://world-en.openfoodfacts.org/product/8901063093409/good-day-cashew-cookies-britannia
8901060000000,nutri choice,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits",4,unknown,http://world-en.openfoodfacts.org/product/8901063142336/nutri-choice-britannia
8901060000000,sandwich white bread,Britannia,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",4,b,http://world-en.openfoodfacts.org/product/8901063342354/sandwich-white-bread-britannia
7622200000000,,Cadbury,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,sweet snacks",4,e,http://world-en.openfoodfacts.org/product/7622201150273/cadbury
8901230000000,,Cadbury,,4,unknown,http://world-en.openfoodfacts.org/product/8901233029856/cadbury
7622200000000,5star pack of 6,Cadbury,Chocolate bars,4,e,http://world-en.openfoodfacts.org/product/7622202218262/5star-pack-of-6-cadbury
7622200000000,Bourn Vita biscuits,Cadbury,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/7622201757359/bourn-vita-biscuits-cadbury
8901230000000,Bourn vita,Cadbury,,4,unknown,http://world-en.openfoodfacts.org/product/8901233035178/bourn-vita-cadbury
7622200000000,Bournville Intense 70% Dark,Cadbury,"Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar,Sweet snacks",4,unknown,http://world-en.openfoodfacts.org/product/7622202325960/bournville-intense-70-dark-cadbury
7622200000000,Cadbury 5Star,Cadbury,Confectioneries,4,unknown,http://world-en.openfoodfacts.org/product/7622202318047/cadbury-5star
7622200000000,Cadbury Bournville Cranberry,Cadbury,,4,unknown,http://world-en.openfoodfacts.org/product/7622202325939/cadbury-bournville-cranberry
